per;Währung;NAV;Umlaufende Anteile;Fondsvermögen;Ertragsserie des Produktes;Benchmark Ertragserie
20.Nov.2025;EUR;41.06;10’749’774.00;441’344’454.41;--;--
19.Nov.2025;EUR;40.60;10’749’774.00;436’486’044.31;274.48;279.32
18.Nov.2025;EUR;40.78;10’749’774.00;438’340’075.96;--;--
17.Nov.2025;EUR;41.69;10’749’774.00;448’128’507.30;281.80;286.78
14.Nov.2025;EUR;41.41;10’749’774.00;445’172’399.50;279.94;284.88
13.Nov.2025;EUR;40.95;10’749’774.00;440’185’716.62;276.81;281.69
12.Nov.2025;EUR;41.24;10’749’774.00;443’342’377.41;278.79;283.73
11.Nov.2025;EUR;41.50;10’749’774.00;446’154’801.67;280.56;285.52
10.Nov.2025;EUR;40.71;10’749’774.00;437’614’251.99;275.19;280.05
07.Nov.2025;EUR;40.16;10’749’774.00;431’738’188.97;271.50;276.28
06.Nov.2025;EUR;40.19;10’749’774.00;432’025’272.95;271.68;276.46
05.Nov.2025;EUR;40.46;10’749’774.00;434’921’944.54;273.50;278.31
04.Nov.2025;EUR;40.10;10’749’774.00;431’066’483.07;271.07;275.84
03.Nov.2025;EUR;40.28;10’749’774.00;433’025’731.76;272.31;277.09
31.Okt.2025;EUR;40.01;10’749’774.00;430’113’150.83;270.47;275.22
30.Okt.2025;EUR;40.19;10’749’774.00;432’055’664.38;271.70;276.46
29.Okt.2025;EUR;40.13;10’749’774.00;431’422’044.98;271.30;276.05
28.Okt.2025;EUR;39.62;10’749’774.00;425’894’775.01;267.82;272.50
27.Okt.2025;EUR;39.62;10’749’774.00;425’882’711.56;267.81;272.49
24.Okt.2025;EUR;39.68;10’749’774.00;426’573’610.79;268.25;272.94
23.Okt.2025;EUR;39.47;10’749’774.00;424’279’848.45;266.81;271.47
22.Okt.2025;EUR;38.43;10’749’774.00;413’153’909.22;259.81;264.35
21.Okt.2025;EUR;38.17;10’749’774.00;410’280’437.59;258.00;262.51
20.Okt.2025;EUR;38.13;11’299’774.00;430’895’730.46;257.78;262.27
17.Okt.2025;EUR;37.97;11’399’774.00;432’875’645.18;256.69;261.15
16.Okt.2025;EUR;38.25;11’399’774.00;435’999’299.05;258.54;263.04
15.Okt.2025;EUR;38.30;11’399’774.00;436’666’223.93;258.94;263.45
14.Okt.2025;EUR;38.49;11’441’074.00;440’326’709.29;256.88;261.34
13.Okt.2025;EUR;38.88;11’441’074.00;444’796’860.93;259.49;263.99
10.Okt.2025;EUR;38.72;11’441’074.00;442’983’410.68;258.43;262.90
09.Okt.2025;EUR;39.77;11’441’074.00;455’061’420.69;265.47;270.07
08.Okt.2025;EUR;39.68;11’441’074.00;453’971’002.96;264.84;269.42
07.Okt.2025;EUR;39.46;11’441’074.00;451’466’176.14;263.38;267.93
06.Okt.2025;EUR;39.41;11’341’074.00;447’007’612.44;263.07;267.62
02.Okt.2025;EUR;38.86;11’341’074.00;440’763’129.48;259.40;263.87
01.Okt.2025;EUR;38.97;11’341’074.00;441’906’702.02;260.07;264.55
30.Sept.2025;EUR;38.23;11’341’074.00;433’547’017.11;255.15;259.69
29.Sept.2025;EUR;38.84;11’341’074.00;440’506’433.32;259.25;263.87
26.Sept.2025;EUR;39.38;11’341’074.00;446’598’927.44;262.83;267.50
25.Sept.2025;EUR;38.88;11’341’074.00;440’894’009.44;259.48;264.07
24.Sept.2025;EUR;38.79;11’341’074.00;439’969’380.63;258.93;263.52
23.Sept.2025;EUR;38.21;11’341’074.00;433’377’725.53;255.05;259.57
22.Sept.2025;EUR;37.75;11’341’074.00;428’134’680.54;251.97;256.42
19.Sept.2025;EUR;37.58;11’341’074.00;426’148’893.17;250.80;255.28
18.Sept.2025;EUR;37.87;11’341’074.00;429’478’803.24;252.76;257.27
17.Sept.2025;EUR;37.58;11’341’074.00;426’217’401.68;250.84;255.32
16.Sept.2025;EUR;37.99;11’341’074.00;430’835’857.42;253.56;258.08
15.Sept.2025;EUR;38.02;11’341’074.00;431’195’549.73;253.77;258.29
12.Sept.2025;EUR;37.91;11’341’074.00;429’929’328.31;253.02;257.52
11.Sept.2025;EUR;38.06;11’341’074.00;431’663’151.81;254.04;258.55
10.Sept.2025;EUR;38.24;11’341’074.00;433’676’196.04;255.23;259.77
09.Sept.2025;EUR;38.02;11’341’074.00;431’227’317.67;253.79;258.30
08.Sept.2025;EUR;37.58;11’341’074.00;426’245’405.58;250.86;255.33
05.Sept.2025;EUR;37.35;11’341’074.00;423’546’200.82;249.27;253.71
04.Sept.2025;EUR;38.03;11’341’074.00;431’338’442.49;253.85;258.34
03.Sept.2025;EUR;37.85;11’291’074.00;427’408’829.76;252.65;257.12
02.Sept.2025;EUR;38.18;10’941’074.00;417’735’516.82;254.84;259.33
01.Sept.2025;EUR;38.51;10’691’074.00;411’697’406.72;257.02;261.56
29.Aug.2025;EUR;38.53;10’691’074.00;411’965’078.17;257.19;261.73
28.Aug.2025;EUR;38.56;10’691’074.00;412’209’377.98;257.34;261.84
27.Aug.2025;EUR;38.62;10’691’074.00;412’918’931.22;257.79;262.31
26.Aug.2025;EUR;38.57;10’691’074.00;412’380’161.60;257.45;261.98
25.Aug.2025;EUR;38.68;10’691’074.00;413’530’153.29;258.17;262.71
22.Aug.2025;EUR;38.73;10’691’074.00;414’054’626.87;258.50;263.04
21.Aug.2025;EUR;38.51;10’691’074.00;411’742’655.96;257.05;261.54
20.Aug.2025;EUR;38.19;10’691’074.00;408’261’504.85;254.88;259.34
19.Aug.2025;EUR;38.22;10’741’074.00;410’540’410.87;255.11;259.58
18.Aug.2025;EUR;38.12;10’741’074.00;409’474’153.62;254.45;258.89
15.Aug.2025;EUR;37.95;10’741’074.00;407’652’198.06;253.31;257.77
14.Aug.2025;EUR;37.91;10’791’074.00;409’072’178.68;253.02;257.47
13.Aug.2025;EUR;37.90;10’791’074.00;409’011’963.79;252.98;257.45
12.Aug.2025;EUR;38.37;10’791’074.00;414’050’817.69;256.10;260.69
11.Aug.2025;EUR;37.82;10’791’074.00;408’074’291.95;252.40;256.92
08.Aug.2025;EUR;37.76;10’791’074.00;407’488’378.66;252.04;256.54
07.Aug.2025;EUR;37.75;10’891’074.00;411’122’849.10;251.95;256.45
06.Aug.2025;EUR;38.26;10’891’074.00;416’637’760.79;255.33;259.89
05.Aug.2025;EUR;37.78;10’991’074.00;415’209’527.85;252.14;256.64
04.Aug.2025;EUR;37.54;10’991’074.00;412’643’358.79;250.58;255.05
01.Aug.2025;EUR;37.44;10’991’074.00;411’485’634.99;249.88;254.32
31.Juli2025;EUR;38.14;10’991’074.00;419’161’336.77;254.54;259.06
30.Juli2025;EUR;38.12;10’991’074.00;418’943’819.43;254.41;258.93
29.Juli2025;EUR;38.08;10’991’074.00;418’512’323.37;254.15;258.65
28.Juli2025;EUR;37.79;10’991’074.00;415’389’763.02;252.25;256.73
25.Juli2025;EUR;37.38;10’991’074.00;410’853’747.40;249.50;253.91
24.Juli2025;EUR;37.46;10’991’074.00;411’768’653.54;250.05;254.47
23.Juli2025;EUR;37.69;11’191’074.00;421’843’542.65;251.59;256.03
22.Juli2025;EUR;37.06;11’191’074.00;414’771’362.42;247.37;251.74
21.Juli2025;EUR;37.11;11’341’074.00;420’908’141.46;247.71;252.08
18.Juli2025;EUR;37.27;11’341’074.00;422’670’486.42;248.75;253.13
17.Juli2025;EUR;37.03;11’341’074.00;419’997’703.94;247.18;251.54
16.Juli2025;EUR;36.79;11’341’074.00;417’243’171.74;245.56;249.89
15.Juli2025;EUR;37.09;11’341’074.00;420’696’473.24;247.59;251.95
14.Juli2025;EUR;37.40;11’270’874.00;421’493’369.30;247.58;251.94
11.Juli2025;EUR;37.73;11’270’874.00;425’305’821.00;249.82;254.21
10.Juli2025;EUR;37.43;11’270’874.00;421’894’130.51;247.82;252.17
09.Juli2025;EUR;37.28;11’270’874.00;420’165’752.53;246.80;251.12
08.Juli2025;EUR;37.01;11’270’874.00;417’155’741.84;245.03;249.32
07.Juli2025;EUR;36.62;11’270’874.00;412’768’962.02;242.46;246.70
04.Juli2025;EUR;37.07;11’270’874.00;417’831’845.44;245.43;249.72
03.Juli2025;EUR;37.16;11’270’874.00;418’801’982.38;246.00;250.34
02.Juli2025;EUR;36.86;11’320’874.00;417’300’900.58;244.04;248.34
01.Juli2025;EUR;36.39;11’320’874.00;411’912’402.36;240.88;245.13
30.Juni2025;EUR;36.55;11’320’874.00;413’758’218.70;241.96;246.24
27.Juni2025;EUR;36.77;11’320’874.00;416’239’366.70;243.42;247.71
26.Juni2025;EUR;36.61;11’470’874.00;419’997’347.51;242.40;246.66
25.Juni2025;EUR;36.40;11’470’874.00;417’558’273.21;240.99;245.23
24.Juni2025;EUR;36.56;11’470’874.00;419’410’421.14;242.06;246.33
23.Juni2025;EUR;37.49;11’170’874.00;418’833’042.66;248.22;252.57
20.Juni2025;EUR;37.55;11’170’874.00;419’420’550.11;248.57;252.93
19.Juni2025;EUR;37.78;11’020’874.00;416’322’988.53;250.09;254.53
18.Juni2025;EUR;37.41;10’970’874.00;410’384’452.99;247.65;252.14
17.Juni2025;EUR;37.63;10’970’874.00;412’837’759.85;249.13;253.64
16.Juni2025;EUR;37.19;11’070’874.00;411’670’094.74;246.18;250.65
13.Juni2025;EUR;37.04;11’070’874.00;410’072’175.24;245.22;249.66
12.Juni2025;EUR;36.81;11’070’874.00;407’559’720.82;243.72;248.13
11.Juni2025;EUR;36.41;11’070’874.00;403’069’401.36;241.04;245.38
10.Juni2025;EUR;36.40;11’070’874.00;402’997’419.38;240.99;245.33
06.Juni2025;EUR;35.83;11’070’874.00;396’695’419.52;237.22;241.47
05.Juni2025;EUR;35.54;11’070’874.00;393’435’421.51;235.28;239.50
04.Juni2025;EUR;35.62;11’070’874.00;394’338’464.10;--;--
03.Juni2025;EUR;35.91;11’070’874.00;397’503’572.09;237.71;242.00
02.Juni2025;EUR;35.53;11’070’874.00;393’304’242.69;235.20;239.45
30.Mai2025;EUR;35.05;11’070’874.00;388’035’699.74;232.05;236.22
29.Mai2025;EUR;34.97;11’070’874.00;387’199’556.90;231.55;235.71
28.Mai2025;EUR;35.15;11’070’874.00;389’097’368.86;232.68;236.85
27.Mai2025;EUR;35.10;11’070’874.00;388’636’500.64;232.41;236.58
26.Mai2025;EUR;34.88;11’070’874.00;386’103’702.15;230.89;235.03
23.Mai2025;EUR;34.46;11’070’874.00;381’542’197.48;228.16;232.29
22.Mai2025;EUR;34.58;11’070’874.00;382’869’717.62;228.96;233.09
21.Mai2025;EUR;34.91;11’070’874.00;386’432’215.42;231.09;235.26
20.Mai2025;EUR;35.13;11’070’874.00;388’914’376.26;232.57;236.75
19.Mai2025;EUR;34.92;11’070’874.00;386’635’131.88;231.21;235.37
16.Mai2025;EUR;35.09;11’120’874.00;390’257’293.48;232.33;236.59
15.Mai2025;EUR;34.85;11’170’874.00;389’284’482.12;230.71;234.95
14.Mai2025;EUR;34.95;11’170’874.00;390’433’481.96;231.39;235.67
13.Mai2025;EUR;35.14;11’170’874.00;392’544’685.39;232.64;236.95
12.Mai2025;EUR;34.80;11’170’874.00;388’769’119.41;230.40;234.67
09.Mai2025;EUR;34.05;11’170’874.00;380’366’874.31;225.42;229.60
08.Mai2025;EUR;33.39;11’270’874.00;376’336’787.46;221.06;225.15
07.Mai2025;EUR;33.02;11’270’874.00;372’217’669.64;218.64;222.69
06.Mai2025;EUR;33.37;11’270’874.00;376’097’136.06;220.92;225.01
05.Mai2025;EUR;33.07;11’270’874.00;372’694’405.16;220.30;222.95
02.Mai2025;EUR;33.28;11’270’874.00;375’049’373.88;220.30;224.38
30.Apr.2025;EUR;32.82;11’270’874.00;369’957’670.12;217.31;221.34
29.Apr.2025;EUR;33.10;11’270’874.00;373’063’373.85;219.13;223.17
28.Apr.2025;EUR;33.21;11’270’874.00;374’325’479.15;219.88;223.93
25.Apr.2025;EUR;33.12;11’270’874.00;373’322’589.11;219.29;223.33
24.Apr.2025;EUR;32.80;11’220’874.00;368’081’798.61;217.17;221.16
23.Apr.2025;EUR;32.52;11’220’874.00;364’944’054.51;215.32;219.28
22.Apr.2025;EUR;32.40;11’220’874.00;363’593’325.52;214.52;218.46
17.Apr.2025;EUR;32.38;11’220’874.00;363’276’873.78;214.34;218.26
16.Apr.2025;EUR;31.88;11’220’874.00;357’741’564.55;211.07;214.94
15.Apr.2025;EUR;31.49;11’120’874.00;350’250’690.29;208.51;212.32
14.Apr.2025;EUR;31.43;11’030’874.00;346’648’699.83;205.54;209.30
11.Apr.2025;EUR;30.47;11’030’874.00;336’065’925.32;199.26;202.87
10.Apr.2025;EUR;30.83;11’030’874.00;340’041’032.41;201.62;205.30
09.Apr.2025;EUR;30.07;11’030’874.00;331’655’020.59;196.65;200.23
08.Apr.2025;EUR;31.64;11’030’874.00;349’007’957.38;206.93;210.70
07.Apr.2025;EUR;31.23;11’030’874.00;344’514’362.99;204.27;207.99
04.Apr.2025;EUR;32.82;11’180’874.00;366’969’045.56;214.67;218.59
03.Apr.2025;EUR;35.27;11’180’874.00;394’371’711.30;230.70;235.41
02.Apr.2025;EUR;37.18;11’230’874.00;417’528’904.60;243.15;247.55
01.Apr.2025;EUR;37.36;11’230’874.00;419’606’795.51;244.36;248.78
31.März2025;EUR;37.29;11’330’874.00;422’537’496.69;243.90;248.31
28.März2025;EUR;37.27;11’380’874.00;424’173’125.65;243.77;248.15
27.März2025;EUR;37.94;11’380’874.00;431’828’782.80;248.17;252.62
26.März2025;EUR;38.03;11’380’874.00;432’833’544.59;248.74;253.21
25.März2025;EUR;37.44;11’380’874.00;426’063’435.03;244.85;249.38
24.März2025;EUR;37.07;11’430’874.00;423’760’792.29;242.47;246.94
21.März2025;EUR;37.32;11’430’874.00;426’628’566.89;244.11;248.67
20.März2025;EUR;37.45;11’430’874.00;428’086’218.12;244.94;249.52
19.März2025;EUR;37.39;11’430’874.00;427’358’485.10;244.52;249.10
18.März2025;EUR;36.78;11’430’874.00;420’467’745.00;240.58;245.10
17.März2025;EUR;36.43;11’430’874.00;416’478’276.26;238.30;242.75
14.März2025;EUR;35.91;11’430’874.00;410’455’993.78;234.85;239.23
13.März2025;EUR;35.55;11’580’874.00;411’681’527.50;232.50;236.85
12.März2025;EUR;35.25;11’580’874.00;408’187’075.96;230.53;234.83
11.März2025;EUR;34.77;11’580’874.00;402’624’453.99;227.39;231.63
10.März2025;EUR;34.93;11’580’874.00;404’556’427.31;228.48;232.72
07.März2025;EUR;34.96;11’580’874.00;404’818’132.54;228.63;232.87
06.März2025;EUR;34.87;11’580’874.00;403’859’108.64;228.08;232.31
05.März2025;EUR;34.61;11’580’874.00;400’842’122.53;226.38;230.56
04.März2025;EUR;34.76;11’580’874.00;402’557’237.02;227.35;231.51
03.März2025;EUR;36.27;11’580’874.00;420’085’699.96;237.25;241.59
28.Feb.2025;EUR;36.21;11’580’874.00;419’340’665.19;236.83;241.15
27.Feb.2025;EUR;36.41;11’580’874.00;421’634’843.79;238.12;242.46
26.Feb.2025;EUR;36.25;11’630’874.00;421’562’605.10;237.06;241.39
25.Feb.2025;EUR;35.89;11’830’874.00;424’659’850.48;234.76;239.04
24.Feb.2025;EUR;36.32;11’830’874.00;429’750’815.33;237.58;241.90
21.Feb.2025;EUR;36.51;11’830’874.00;431’890’050.43;238.76;243.09
20.Feb.2025;EUR;36.85;11’830’874.00;435’985’577.50;241.03;245.41
19.Feb.2025;EUR;36.91;11’830’874.00;436’697’796.16;241.42;245.79
18.Feb.2025;EUR;37.06;11’830’874.00;438’495’158.14;242.41;246.80
17.Feb.2025;EUR;36.96;11’830’874.00;437’225’069.38;241.71;246.08
14.Feb.2025;EUR;36.88;11’980’874.00;441’894’544.98;241.23;245.63
13.Feb.2025;EUR;36.74;11’980’874.00;440’207’344.05;240.31;244.69
12.Feb.2025;EUR;36.93;11’980’874.00;442’409’618.09;241.52;245.98
11.Feb.2025;EUR;36.85;11’980’874.00;441’486’651.94;241.01;245.46
10.Feb.2025;EUR;36.56;12’030’874.00;439’820’097.67;239.10;243.51
07.Feb.2025;EUR;36.05;12’030’874.00;433’740’472.47;235.80;240.14
06.Feb.2025;EUR;35.90;12’030’874.00;431’966’959.76;234.83;239.15
05.Feb.2025;EUR;35.80;12’030’874.00;430’728’782.08;234.16;238.47
04.Feb.2025;EUR;35.64;12’030’874.00;428’738’385.38;233.08;237.36
03.Feb.2025;EUR;35.34;12’030’874.00;425’213’547.86;231.16;235.41
31.Jan.2025;EUR;35.68;12’130’874.00;432’806’042.39;233.35;237.63
30.Jan.2025;EUR;35.53;12’130’874.00;430’972’814.07;232.36;236.62
29.Jan.2025;EUR;34.90;12’130’874.00;423’391’106.17;228.27;232.45
28.Jan.2025;EUR;34.69;12’180’874.00;422’585’972.12;226.91;231.05
27.Jan.2025;EUR;34.50;12’180’874.00;420’186’007.78;225.62;229.74
24.Jan.2025;EUR;35.34;12’230’874.00;432’222’295.24;231.13;235.34
23.Jan.2025;EUR;35.69;12’230’874.00;436’503’270.21;233.42;237.67
22.Jan.2025;EUR;35.50;12’230’874.00;434’163’068.00;232.17;236.40
21.Jan.2025;EUR;35.44;12’430’874.00;440’553’718.54;231.80;236.01
20.Jan.2025;EUR;35.62;12’430’874.00;442’789’752.68;232.97;237.21
17.Jan.2025;EUR;35.91;12’530’874.00;449’976’673.67;234.86;239.16
16.Jan.2025;EUR;35.60;12’530’874.00;446’093’223.38;232.84;237.09
15.Jan.2025;EUR;35.62;12’530’874.00;446’385’113.65;232.99;237.25
14.Jan.2025;EUR;35.70;12’680’874.00;452’757’070.31;230.34;234.55
13.Jan.2025;EUR;35.97;12’680’874.00;456’111’479.85;232.05;236.28
10.Jan.2025;EUR;35.58;12’730’874.00;452’913’948.84;229.51;233.69
09.Jan.2025;EUR;35.66;12’730’874.00;454’014’380.35;230.07;234.30
08.Jan.2025;EUR;35.40;12’730’874.00;450’734’178.08;228.41;232.61
07.Jan.2025;EUR;35.88;12’730’874.00;456’830’284.87;231.50;235.75
06.Jan.2025;EUR;35.61;12’730’874.00;453’302’978.77;229.71;233.93
03.Jan.2025;EUR;35.25;12’730’874.00;448’781’506.31;227.42;231.58
02.Jan.2025;EUR;34.84;12’730’874.00;443’520’787.79;224.75;228.87
30.Dez.2024;EUR;33.66;12’730’874.00;428’529’661.10;217.16;221.25
27.Dez.2024;EUR;33.58;12’730’874.00;427’523’034.81;216.65;220.72
23.Dez.2024;EUR;33.14;12’730’874.00;421’944’848.86;213.82;217.82
20.Dez.2024;EUR;33.03;12’730’874.00;420’558’427.52;213.12;217.09
19.Dez.2024;EUR;33.16;12’730’874.00;422’092’534.44;213.89;217.87
18.Dez.2024;EUR;33.44;12’730’874.00;425’748’231.10;215.75;219.76
17.Dez.2024;EUR;33.26;12’730’874.00;423’369’196.92;214.54;218.52
16.Dez.2024;EUR;33.71;12’730’874.00;429’104’997.24;217.45;221.49
13.Dez.2024;EUR;34.04;12’730’874.00;433’382’506.09;219.62;223.67
12.Dez.2024;EUR;34.23;12’880’874.00;440’922’879.30;220.83;224.91
11.Dez.2024;EUR;34.37;12’880’874.00;442’693’439.63;221.72;225.81
10.Dez.2024;EUR;34.53;13’080’874.00;451’693’743.09;222.77;226.87
09.Dez.2024;EUR;34.71;13’080’874.00;454’057’961.19;223.94;228.10
06.Dez.2024;EUR;34.02;13’080’874.00;444’949’605.42;219.44;223.51
05.Dez.2024;EUR;34.29;13’130’874.00;450’298’602.72;221.24;225.33
04.Dez.2024;EUR;34.44;13’130’874.00;452’255’966.56;222.20;226.31
03.Dez.2024;EUR;34.71;13’130’874.00;455’819’611.21;223.95;228.09
02.Dez.2024;EUR;34.40;13’280’874.00;456’808’697.32;221.90;225.99
29.Nov.2024;EUR;34.58;13’280’874.00;459’212’629.51;223.07;227.19
28.Nov.2024;EUR;34.44;13’280’874.00;457’381’569.17;222.18;226.28
27.Nov.2024;EUR;34.28;13’430’874.00;460’345’356.00;221.12;225.21
26.Nov.2024;EUR;34.35;13’430’874.00;461’391’687.70;221.62;225.69
25.Nov.2024;EUR;34.77;13’430’874.00;466’957’251.73;224.30;228.41
22.Nov.2024;EUR;35.12;13’430’874.00;471’625’070.93;226.54;230.68
21.Nov.2024;EUR;34.95;13’480’874.00;471’132’886.85;225.46;229.60
20.Nov.2024;EUR;34.53;13’480’874.00;465’467’129.20;222.75;226.83
19.Nov.2024;EUR;34.49;13’480’874.00;464’950’360.88;222.50;226.58
18.Nov.2024;EUR;34.73;13’480’874.00;468’153’847.22;224.04;228.14
15.Nov.2024;EUR;34.61;13’480’874.00;466’601’356.85;223.29;227.53
14.Nov.2024;EUR;34.25;13’480’874.00;461’768’126.72;220.98;225.17
13.Nov.2024;EUR;33.61;13’480’874.00;453’084’571.74;216.83;220.93
12.Nov.2024;EUR;33.18;13’480’874.00;447’240’481.77;214.03;218.09
11.Nov.2024;EUR;33.86;13’480’874.00;456’519’244.77;218.47;222.61
08.Nov.2024;EUR;33.72;13’480’874.00;454’601’376.43;217.55;221.67
07.Nov.2024;EUR;34.10;13’480’874.00;459’703’608.76;219.99;224.15
06.Nov.2024;EUR;33.82;13’480’874.00;455’925’888.15;218.19;222.31
05.Nov.2024;EUR;34.13;13’480’874.00;460’087’955.78;220.18;224.34
04.Nov.2024;EUR;34.11;13’480’874.00;459’800’070.52;220.04;224.20
01.Nov.2024;EUR;33.97;13’480’874.00;457’944’811.97;219.15;223.31
31.Okt.2024;EUR;33.69;13’480’874.00;454’108’350.62;217.32;221.43
30.Okt.2024;EUR;33.72;13’530’874.00;456’201’097.24;217.51;221.63
29.Okt.2024;EUR;33.89;13’580’874.00;460’265’144.89;218.64;222.77
28.Okt.2024;EUR;34.31;13’580’874.00;465’951’303.42;221.34;225.52
25.Okt.2024;EUR;34.77;13’680’874.00;475’621’905.11;224.28;228.52
24.Okt.2024;EUR;34.42;13’680’874.00;470’930’926.97;222.07;226.27
23.Okt.2024;EUR;34.33;13’730’874.00;471’368’796.18;221.47;225.65
22.Okt.2024;EUR;34.62;13’730’874.00;475’393’274.75;223.36;227.57
21.Okt.2024;EUR;34.45;13’730’874.00;473’003’541.40;222.24;226.42
18.Okt.2024;EUR;34.23;13’730’874.00;470’027’159.27;220.84;224.98
17.Okt.2024;EUR;34.42;13’730’874.00;472’555’436.11;222.03;226.20
16.Okt.2024;EUR;34.05;13’730’874.00;467’477’559.90;219.64;223.76
15.Okt.2024;EUR;33.91;13’730’874.00;465’625’172.18;218.77;222.87
14.Okt.2024;EUR;35.55;13’585’974.00;483’020’522.00;226.21;230.44
11.Okt.2024;EUR;35.58;13’585’974.00;483’448’960.87;226.41;230.63
10.Okt.2024;EUR;35.49;13’585’974.00;482’164’761.48;225.81;230.01
09.Okt.2024;EUR;35.35;13’585’974.00;480’320’817.97;224.94;229.13
08.Okt.2024;EUR;35.32;13’585’974.00;479’822’595.03;224.71;228.89
07.Okt.2024;EUR;36.14;13’585’974.00;490’956’257.59;229.92;234.20
04.Okt.2024;EUR;35.86;13’585’974.00;487’162’767.42;228.15;232.38
02.Okt.2024;EUR;35.20;13’485’974.00;474’684’184.65;223.95;228.10
01.Okt.2024;EUR;34.65;13’485’974.00;467’284’776.81;220.46;224.54
30.Sept.2024;EUR;34.17;13’435’974.00;459’134’160.39;217.42;221.49
27.Sept.2024;EUR;34.12;13’335’974.00;454’962’420.58;217.06;221.10
26.Sept.2024;EUR;33.88;13’335’974.00;451’824’682.84;215.56;219.58
25.Sept.2024;EUR;34.94;13’335’974.00;465’958’596.15;222.31;226.45
24.Sept.2024;EUR;35.48;13’335’974.00;473’226’112.04;225.77;230.08
23.Sept.2024;EUR;35.43;13’335’974.00;472’459’250.90;225.41;229.71
20.Sept.2024;EUR;35.09;13’335’974.00;467’952’591.17;223.26;227.57
19.Sept.2024;EUR;35.50;13’335’974.00;473’430’185.55;225.87;230.23
18.Sept.2024;EUR;34.97;13’335’974.00;466’420’855.68;222.53;226.88
17.Sept.2024;EUR;34.93;13’335’974.00;465’813’302.30;222.24;226.58
16.Sept.2024;EUR;34.64;13’335’974.00;461’989’329.07;220.41;224.71
13.Sept.2024;EUR;34.66;13’335’974.00;462’165’387.09;220.50;224.79
12.Sept.2024;EUR;34.22;13’335’974.00;456’389’409.96;217.74;221.98
11.Sept.2024;EUR;33.83;13’335’974.00;451’175’196.52;215.25;219.44
10.Sept.2024;EUR;33.80;13’335’974.00;450’800’390.08;215.07;219.27
09.Sept.2024;EUR;34.35;13’335’974.00;458’075’549.69;218.55;222.78
06.Sept.2024;EUR;34.09;13’335’974.00;454’660’237.94;216.92;221.13
05.Sept.2024;EUR;34.81;13’335’974.00;464’200’032.04;221.47;225.75
04.Sept.2024;EUR;34.88;13’335’974.00;465’217’007.49;221.95;226.24
03.Sept.2024;EUR;35.13;13’335’974.00;468’448’301.11;223.49;227.80
02.Sept.2024;EUR;36.13;13’335’974.00;481’837’581.92;229.88;234.31
30.Aug.2024;EUR;36.06;13’335’974.00;480’865’579.77;229.42;233.84
29.Aug.2024;EUR;36.38;13’335’974.00;485’113’569.08;231.44;235.90
28.Aug.2024;EUR;36.09;13’335’974.00;481’314’393.99;229.63;234.06
27.Aug.2024;EUR;36.24;13’335’974.00;483’303’371.95;230.58;235.03
26.Aug.2024;EUR;36.26;13’335’974.00;483’559’762.44;230.70;235.15
23.Aug.2024;EUR;36.01;13’335’974.00;480’201’348.04;229.10;233.51
22.Aug.2024;EUR;35.70;13’335’974.00;476’040’164.79;227.12;231.47
21.Aug.2024;EUR;35.88;13’335’974.00;478’533’704.09;228.31;232.69
20.Aug.2024;EUR;35.92;13’335’974.00;479’014’618.34;228.54;232.91
19.Aug.2024;EUR;36.71;13’335’974.00;489’593’028.19;233.58;238.06
16.Aug.2024;EUR;36.43;13’335’974.00;485’855’047.63;231.80;236.21
15.Aug.2024;EUR;36.46;13’335’974.00;486’188’504.14;231.96;236.43
14.Aug.2024;EUR;35.97;13’335’974.00;479’632’423.38;228.83;233.37
13.Aug.2024;EUR;35.98;13’335’974.00;479’849’883.06;228.93;233.47
12.Aug.2024;EUR;36.04;13’335’974.00;480’609’715.79;229.30;233.84
09.Aug.2024;EUR;35.81;13’335’974.00;477’499’428.93;227.81;232.32
08.Aug.2024;EUR;35.67;13’335’974.00;475’759’820.74;--;--
07.Aug.2024;EUR;35.60;13’335’974.00;474’785’172.26;226.52;230.99
06.Aug.2024;EUR;34.83;13’335’974.00;464’438’334.50;221.58;225.95
05.Aug.2024;EUR;34.61;13’335’974.00;461’620’982.03;220.24;224.57
02.Aug.2024;EUR;35.86;13’435’974.00;481’778’757.79;228.14;232.63
01.Aug.2024;EUR;36.77;13’435’974.00;494’053’423.04;233.96;238.56
31.Juli2024;EUR;37.16;13’435’974.00;499’279’527.93;236.43;241.08
30.Juli2024;EUR;36.50;13’435’974.00;490’345’820.68;232.20;236.76
29.Juli2024;EUR;36.53;13’435’974.00;490’753’371.76;232.39;236.96
26.Juli2024;EUR;36.46;13’435’974.00;489’934’251.02;232.01;236.56
25.Juli2024;EUR;36.27;13’435’974.00;487’277’432.44;230.75;235.27
24.Juli2024;EUR;36.41;13’435’974.00;489’169’936.06;231.64;236.19
23.Juli2024;EUR;36.32;13’435’974.00;488’033’967.81;231.11;235.63
22.Juli2024;EUR;36.69;13’435’974.00;492’965’535.43;233.44;238.01
19.Juli2024;EUR;36.64;13’435’974.00;492’296’374.50;233.12;237.68
18.Juli2024;EUR;36.99;13’435’974.00;497’000’177.84;235.35;239.95
17.Juli2024;EUR;36.60;13’435’974.00;491’753’137.05;232.87;237.41
16.Juli2024;EUR;36.42;13’435’974.00;489’279’759.59;231.70;236.23
15.Juli2024;EUR;37.00;13’435’974.00;497’169’506.59;233.82;238.39
